,ballot,Count,Num Cands,Cand List
0,ABC,70,4,ABCD
1,ABD,69,,
2,AB,32,,
3,ACB,129,,
4,ACD,217,,
5,AC,105,,
6,ADB,93,,
7,ADC,149,,
8,AD,84,,
9,AB,3,,
10,AC,6,,
11,AD,4,,
12,A,202,,
13,BAC,55,,
14,BAD,58,,
15,BA,20,,
16,BCA,47,,
17,BCD,183,,
18,BC,41,,
19,BDA,75,,
20,BDC,157,,
21,BD,59,,
22,BA,1,,
23,BC,3,,
24,BD,5,,
25,B,126,,
26,CAB,112,,
27,CAD,193,,
28,CA,72,,
29,CBA,68,,
30,CBD,153,,
31,CB,39,,
32,CDA,143,,
33,CDB,134,,
34,CD,89,,
35,CA,7,,
36,CB,7,,
37,CD,5,,
38,C,171,,
39,DAB,118,,
40,DAC,162,,
41,DA,115,,
42,DBA,166,,
43,DBC,119,,
44,DB,70,,
45,DCA,121,,
46,DCB,107,,
47,DC,89,,
48,DA,6,,
49,DB,7,,
50,DC,7,,
51,D,227,,
52,AC,1,,
53,AD,1,,
54,BA,1,,
55,BC,1,,
56,B,2,,
57,C,4,,
58,D,3,,
59,B,3,,
60,C,1,,
61,D,1,,
