,ballot,Count,Num Cands,Cand List
1,A,1699,5,ABCDE
2,AB,36,,
3,ABC,12,,
4,ABCD,2,,
5,ABCDE,35,,
6,ABCE,4,,
7,ABCED,18,,
8,ABD,7,,
9,ABDCE,3,,
10,ABDEC,8,,
11,ABE,12,,
12,ABEC,1,,
13,ABECD,22,,
14,ABED,9,,
15,ABEDC,15,,
16,AC,161,,
17,ACB,11,,
18,ACBD,2,,
19,ACBDE,12,,
20,ACBE,2,,
21,ACBED,21,,
22,ACD,13,,
23,ACDBE,10,,
24,ACDE,7,,
25,ACDEB,10,,
26,ACE,50,,
27,ACEB,23,,
28,ACEBD,55,,
29,ACED,12,,
30,ACEDB,44,,
31,AD,51,,
32,ADB,2,,
33,ADBCE,6,,
34,ADBEC,4,,
35,ADC,10,,
36,ADCBE,8,,
37,ADCE,3,,
38,ADCEB,14,,
39,ADE,6,,
40,ADEBC,9,,
41,ADEC,2,,
42,ADECB,9,,
43,AE,138,,
44,AEB,28,,
45,AEBC,6,,
46,AEBCD,32,,
47,AEBD,1,,
48,AEBDC,13,,
49,AEC,34,,
50,AECB,19,,
51,AECBD,63,,
52,AECD,5,,
53,AECDB,23,,
54,AED,8,,
55,AEDB,4,,
56,AEDBC,12,,
57,AEDC,5,,
58,AEDCB,51,,
59,B,239,,
60,BA,34,,
61,BAC,5,,
62,BACDE,11,,
63,BACE,1,,
64,BACED,4,,
65,BAD,4,,
66,BADCE,2,,
67,BADEC,2,,
68,BAE,7,,
69,BAEC,1,,
70,BAECD,15,,
71,BAEDC,6,,
72,BC,30,,
73,BCA,8,,
74,BCADE,6,,
75,BCAE,1,,
76,BCAED,12,,
77,BCD,7,,
78,BCDAE,4,,
79,BCDE,4,,
80,BCDEA,2,,
81,BCE,13,,
82,BCEA,4,,
83,BCEAD,6,,
84,BCED,3,,
85,BCEDA,10,,
86,BD,3,,
87,BDA,3,,
88,BDAEC,1,,
89,BDC,1,,
90,BDCA,1,,
91,BDCAE,1,,
92,BDCE,2,,
93,BDCEA,4,,
94,BDEAC,1,,
95,BDECA,1,,
96,BE,47,,
97,BEA,11,,
98,BEACD,8,,
99,BEAD,2,,
100,BEADC,2,,
101,BEC,8,,
102,BECA,2,,
103,BECAD,14,,
104,BECD,2,,
105,BECDA,6,,
106,BED,4,,
107,BEDA,1,,
108,BEDAC,8,,
109,BEDC,6,,
110,BEDCA,8,,
111,C,1227,,
112,CA,232,,
113,CAB,18,,
114,CABD,3,,
115,CABDE,18,,
116,CABE,10,,
117,CABED,27,,
118,CAD,21,,
119,CADBE,9,,
120,CADE,4,,
121,CADEB,17,,
122,CAE,86,,
123,CAEB,15,,
124,CAEBD,73,,
125,CAED,8,,
126,CAEDB,40,,
127,CB,63,,
128,CBA,15,,
129,CBAD,1,,
130,CBADE,3,,
131,CBAE,5,,
132,CBAED,21,,
133,CBD,6,,
134,CBDAE,4,,
135,CBDE,2,,
