allFiles,NumCands,AllWins,NumUniqueWin,unique_winners_max,unique_winners_noT1_max,unique_winners_1,unique_winners_2,unique_winners_3,unique_winners_4,unique_winners_noT1_1,unique_winners_noT1_2,unique_winners_noT1_3,unique_winners_noT1_4
aberdeen2012/aberdeen12-01.blt,9,AEEEEEEE,2,2,2,165,835,0,0,840,160,0,0
aberdeen2012/aberdeen12-02.blt,9,FFFFFFFF,1,2,2,628,372,0,0,719,281,0,0
aberdeen2012/aberdeen12-03.blt,9,BBBBBBBB,1,3,2,857,135,8,0,945,55,0,0
aberdeen2012/aberdeen12-04.blt,7,BBBBBB,1,2,2,976,24,0,0,992,8,0,0
aberdeen2012/aberdeen12-05.blt,11,AAAAAAAAAA,1,1,1,1000,0,0,0,1000,0,0,0
aberdeen2012/aberdeen12-06.blt,9,CCCCCCCC,1,2,1,976,24,0,0,1000,0,0,0
aberdeen2012/aberdeen12-07.blt,7,CAAAAA,2,2,2,624,376,0,0,829,171,0,0
aberdeen2012/aberdeen12-08.blt,11,FFFFFFFFFF,1,3,3,862,137,1,0,888,111,1,0
aberdeen2012/aberdeen12-09.blt,7,BBBBBB,1,1,1,1000,0,0,0,1000,0,0,0
aberdeen2012/aberdeen12-10.blt,8,GGGGGGG,1,2,2,839,161,0,0,936,64,0,0
aberdeen2012/aberdeen12-11.blt,6,FFFFF,1,1,1,1000,0,0,0,1000,0,0,0
aberdeen2012/aberdeen12-12.blt,12,AAAAAAAAAAA,1,2,2,998,2,0,0,998,2,0,0
aberdeen2012/aberdeen12-13.blt,7,FBBBBB,2,2,2,407,593,0,0,856,144,0,0
aberdeen2017/aberdeen17-01.blt,7,EDDDDD,2,2,2,161,839,0,0,790,210,0,0
aberdeen2017/aberdeen17-02.blt,9,CAAAAAAA,2,2,2,132,868,0,0,918,82,0,0
aberdeen2017/aberdeen17-03.blt,7,CCCCCC,1,1,1,1000,0,0,0,1000,0,0,0
aberdeen2017/aberdeen17-04.blt,8,AAAAAAA,1,1,1,1000,0,0,0,1000,0,0,0
