files,winner,T1_winners,T2_winners,T3_winners,T4_winners,T5_winners,T6_winners,T7_winners,T8_winners,T9_winners,T10_winners,T11_winners,T12_winners
aberdeen2012/aberdeen12-01.blt,E,A,E,E,E,E,E,E,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-02.blt,F,F,F,F,F,F,F,F,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-03.blt,B,B,B,B,B,B,B,B,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-04.blt,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-05.blt,A,A,A,A,A,A,A,A,A,A,NA,NA,NA
aberdeen2012/aberdeen12-06.blt,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-07.blt,A,C,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-08.blt,F,F,F,F,F,F,F,F,F,F,NA,NA,NA
aberdeen2012/aberdeen12-09.blt,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-10.blt,G,G,G,G,G,G,G,NA,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-11.blt,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA
aberdeen2012/aberdeen12-12.blt,A,A,A,A,A,A,A,A,A,A,A,NA,NA
aberdeen2012/aberdeen12-13.blt,B,F,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-01.blt,D,E,D,D,D,D,NA,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-02.blt,A,C,A,A,A,A,A,A,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-03.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-04.blt,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-05.blt,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-06.blt,F,D,F,F,F,F,F,F,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-07.blt,A,F,A,A,A,A,A,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-08.blt,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-09.blt,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-10.blt,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-11.blt,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeen2017/aberdeen17-12.blt,B,C,B,B,B,B,B,B,B,NA,NA,NA,NA
